EVENTID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   _1,TYPE  ,MAG 
871374,ke  ,ISC      ,1/19/1964,9:13:54 AM,26.6781,54.0338,25.6,,ISC      ,mb    ,5.6
870605,ke  ,ISC      ,2/14/1964,3:51:09 PM,29.1652,54.4731,10,TRUE,USCGS    ,mb    ,4.7
870892,ke  ,ISC      ,2/26/1964,9:16:55 AM,27.2538,54.5085,17.2,,ISC      ,mb    ,4.7
869448,ke  ,ISC      ,3/11/1964,11:34:23 PM,27.9441,57.6742,30,,ISC      ,mb    ,4.7
869581,ke  ,ISC      ,3/17/1964,12:05:09 PM,26.8557,54.0043,19,TRUE,ISC      ,mb    ,4.8
869639,ke  ,ISC      ,3/20/1964,3:15:45 AM,27.9789,55.0965,26,TRUE,ISC      ,mb    ,4.6
869663,ke  ,ISC      ,3/21/1964,10:25:32 AM,27.0232,53.9581,19,TRUE,ISC      ,mb    ,4.8
867648,ke  ,ISC      ,5/11/1964,6:07:41 AM,28.0416,57.4506,57,,ISC      ,mb    ,5.1
866193,ke  ,ISC      ,7/21/1964,11:46:53 AM,27.6504,56.4353,18,TRUE,ISC      ,mb    ,5
866211,ke  ,ISC      ,7/22/1964,4:41:56 AM,28.0225,54.9693,26,TRUE,ISC      ,mb    ,4.6
865078,ke  ,ISC      ,8/12/1964,2:34:21 AM,27.2748,56.4263,10,TRUE,USCGS    ,mb    ,4.7
865481,ke  ,ISC      ,8/27/1964,11:58:37 AM,28.1736,55.891,16,TRUE,ISC      ,mb    ,5.2
865484,ke  ,ISC      ,8/27/1964,12:56:52 PM,28.2314,55.8603,25.4,,ISC      ,mb    ,5.4
864397,ke  ,ISC      ,9/14/1964,3:21:12 PM,27.9803,55.8505,41.4,,ISC      ,mb    ,5.2
863675,ke  ,ISC      ,10/18/1964,9:25:27 PM,27.8144,54.8178,26,TRUE,ISC      ,mb    ,5
863984,ke  ,ISC      ,10/30/1964,3:43:13 AM,28.2495,55.9462,16,TRUE,ISC      ,mb    ,4.7
864025,ke  ,ISC      ,10/31/1964,2:59:34 PM,27.6755,55.9166,16,TRUE,MOS      ,M     ,4.5
862057,ke  ,ISC      ,12/19/1964,11:31:56 PM,27.7923,56.9272,35,TRUE,USCGS    ,mb    ,5.3
862129,ke  ,ISC      ,12/22/1964,4:36:37 AM,28.1166,56.9767,30.1,,ISC      ,mb    ,5.7
862161,ke  ,ISC      ,12/23/1964,10:52:19 AM,27.7848,57.0049,35,TRUE,USCGS    ,mb    ,4.8
858667,ke  ,ISC      ,3/17/1965,7:18:50 AM,27.6584,56.7638,10,TRUE,ISC      ,mb    ,5
857855,ke  ,ISC      ,4/19/1965,1:20:05 AM,28.2341,56.5768,28,TRUE,ISC      ,mb    ,4.6
856301,ke  ,ISC      ,6/21/1965,12:21:16 AM,28.0891,55.8683,23.4,,ISC      ,mb    ,6
856303,ke  ,ISC      ,6/21/1965,1:30:35 AM,28.166,56.0876,16,TRUE,ISC      ,mb    ,4.9
855725,ke  ,ISC      ,7/30/1965,7:07:04 PM,28.0534,57.2066,24,TRUE,ISC      ,mb    ,4.8
854019,ke  ,ISC      ,9/21/1965,3:46:03 PM,27.5098,55.2061,20,TRUE,USCGS    ,mb    ,4.5
852260,ke  ,ISC      ,11/8/1965,1:57:25 AM,27.97,56.9252,24.2,,ISC      ,mb    ,5.2
852325,ke  ,ISC      ,11/10/1965,10:03:35 AM,27.2491,54.5118,41.1,,MOS      ,M     ,5
851924,ke  ,ISC      ,12/23/1965,11:10:02 AM,27.7831,54.392,25,TRUE,ISC      ,mb    ,4.8
845326,ke  ,ISC      ,7/8/1966,3:51:02 AM,26.4324,54.7217,10,TRUE,ISC      ,mb    ,4.5
845367,ke  ,ISC      ,7/9/1966,5:01:49 PM,28.0958,56.9149,24,TRUE,         ,      ,
843661,ke  ,ISC      ,9/18/1966,8:43:57 PM,27.8086,54.2366,27.1,,ISC      ,mb    ,6.1
